mp,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,+/-,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,mp_max,mp_max,fg_max,fga_max,fg%_max,3p_max,3pa_max,3p%_max,ft_max,fta_max,ft%_max,orb_max,drb_max,trb_max,ast_max,stl_max,blk_max,tov_max,pf_max,pts_max,+/-_max,ts%_max,efg%_max,3par_max,ftr_max,orb%_max,drb%_max,trb%_max,ast%_max,stl%_max,blk%_max,tov%_max,usg%_max,ortg_max,drtg_max,team,total,home,index_opp,mp_opp,mp_opp,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,+/-_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,mp_max_opp,mp_max_opp,fg_max_opp,fga_max_opp,fg%_max_opp,3p_max_opp,3pa_max_opp,3p%_max_opp,ft_max_opp,fta_max_opp,ft%_max_opp,orb_max_opp,drb_max_opp,trb_max_opp,ast_max_opp,stl_max_opp,blk_max_opp,tov_max_opp,pf_max_opp,pts_max_opp,+/-_max_opp,ts%_max_opp,efg%_max_opp,3par_max_opp,ftr_max_opp,orb%_max_opp,drb%_max_opp,trb%_max_opp,ast%_max_opp,stl%_max_opp,blk%_max_opp,tov%_max_opp,usg%_max_opp,ortg_max_opp,drtg_max_opp,team_opp,total_opp,home_opp,season,date,won
240.0,240.0,45.0,92.0,0.489,21.0,43.0,0.488,9.0,10.0,0.9,10.0,37.0,47.0,30.0,5.0,4.0,15.0,28.0,120.0,,0.622,0.603,0.467,0.109,23.8,82.2,54.0,66.7,5.0,7.3,13.5,100.0,119.2,124.2,,,12.0,19.0,0.632,6.0,12.0,0.667,5.0,5.0,1.0,4.0,8.0,10.0,8.0,2.0,2.0,3.0,5.0,30.0,8.0,0.778,0.778,0.875,0.263,66.9,62.4,64.6,31.4,14.0,5.4,50.0,50.4,147.0,129.0,BRK,120,0,1,240.0,240.0,44.0,91.0,0.484,15.0,36.0,0.417,22.0,28.0,0.786,8.0,32.0,40.0,20.0,5.0,2.0,9.0,15.0,125.0,,0.605,0.566,0.396,0.308,17.8,76.2,46.0,45.5,5.0,4.1,8.0,100.0,124.2,119.2,,,16.0,25.0,1.0,9.0,14.0,1.0,8.0,10.0,1.0,2.0,9.0,10.0,7.0,3.0,1.0,3.0,5.0,49.0,13.0,1.127,1.125,0.667,0.857,16.6,28.5,15.3,41.1,11.8,24.3,50.0,34.9,230.0,127.0,DAL,125,1,2024,2023-10-27,False
240.0,240.0,44.0,91.0,0.484,15.0,36.0,0.417,22.0,28.0,0.786,8.0,32.0,40.0,20.0,5.0,2.0,9.0,15.0,125.0,,0.605,0.566,0.396,0.308,17.8,76.2,46.0,45.5,5.0,4.1,8.0,100.0,124.2,119.2,,,16.0,25.0,1.0,9.0,14.0,1.0,8.0,10.0,1.0,2.0,9.0,10.0,7.0,3.0,1.0,3.0,5.0,49.0,13.0,1.127,1.125,0.667,0.857,16.6,28.5,15.3,41.1,11.8,24.3,50.0,34.9,230.0,127.0,DAL,125,1,0,240.0,240.0,45.0,92.0,0.489,21.0,43.0,0.488,9.0,10.0,0.9,10.0,37.0,47.0,30.0,5.0,4.0,15.0,28.0,120.0,,0.622,0.603,0.467,0.109,23.8,82.2,54.0,66.7,5.0,7.3,13.5,100.0,119.2,124.2,,,12.0,19.0,0.632,6.0,12.0,0.667,5.0,5.0,1.0,4.0,8.0,10.0,8.0,2.0,2.0,3.0,5.0,30.0,8.0,0.778,0.778,0.875,0.263,66.9,62.4,64.6,31.4,14.0,5.4,50.0,50.4,147.0,129.0,BRK,120,0,2024,2023-10-27,True
240.0,240.0,35.0,81.0,0.432,18.0,45.0,0.4,18.0,23.0,0.783,8.0,41.0,49.0,27.0,6.0,6.0,14.0,18.0,106.0,,0.582,0.543,0.556,0.284,20.0,80.4,53.8,77.1,6.4,10.5,13.3,100.0,113.2,101.5,,,7.0,16.0,0.75,6.0,14.0,0.75,6.0,6.0,1.0,3.0,9.0,11.0,7.0,3.0,1.0,4.0,4.0,24.0,22.0,0.938,0.938,0.875,0.667,17.0,31.6,21.6,41.2,8.2,4.8,47.4,29.9,171.0,113.0,GSW,106,0,1,240.0,240.0,34.0,90.0,0.378,9.0,33.0,0.273,18.0,19.0,0.947,10.0,32.0,42.0,22.0,7.0,4.0,7.0,20.0,95.0,,0.483,0.428,0.367,0.211,19.6,80.0,46.2,64.7,7.5,11.1,6.6,100.0,101.5,113.2,,,8.0,20.0,0.6,2.0,7.0,0.5,4.0,5.0,1.0,4.0,8.0,9.0,7.0,2.0,2.0,4.0,5.0,21.0,12.0,0.765,0.7,1.0,0.4,11.3,33.2,19.5,42.4,4.7,12.3,33.3,31.3,151.0,122.0,HOU,95,1,2024,2023-10-29,True
240.0,240.0,34.0,90.0,0.378,9.0,33.0,0.273,18.0,19.0,0.947,10.0,32.0,42.0,22.0,7.0,4.0,7.0,20.0,95.0,,0.483,0.428,0.367,0.211,19.6,80.0,46.2,64.7,7.5,11.1,6.6,100.0,101.5,113.2,,,8.0,20.0,0.6,2.0,7.0,0.5,4.0,5.0,1.0,4.0,8.0,9.0,7.0,2.0,2.0,4.0,5.0,21.0,12.0,0.765,0.7,1.0,0.4,11.3,33.2,19.5,42.4,4.7,12.3,33.3,31.3,151.0,122.0,HOU,95,1,0,240.0,240.0,35.0,81.0,0.432,18.0,45.0,0.4,18.0,23.0,0.783,8.0,41.0,49.0,27.0,6.0,6.0,14.0,18.0,106.0,,0.582,0.543,0.556,0.284,20.0,80.4,53.8,77.1,6.4,10.5,13.3,100.0,113.2,101.5,,,7.0,16.0,0.75,6.0,14.0,0.75,6.0,6.0,1.0,3.0,9.0,11.0,7.0,3.0,1.0,4.0,4.0,24.0,22.0,0.938,0.938,0.875,0.667,17.0,31.6,21.6,41.2,8.2,4.8,47.4,29.9,171.0,113.0,GSW,106,0,2024,2023-10-29,False
240.0,240.0,35.0,87.0,0.402,12.0,38.0,0.316,8.0,14.0,0.571,9.0,33.0,42.0,24.0,6.0,1.0,14.0,12.0,90.0,,0.483,0.471,0.437,0.161,18.4,82.5,47.2,68.6,6.3,1.9,13.1,100.0,93.9,110.6,,,8.0,23.0,0.75,4.0,10.0,1.0,5.0,10.0,1.0,3.0,11.0,11.0,7.0,2.0,1.0,4.0,4.0,22.0,7.0,0.875,0.875,0.833,0.714,25.4,62.6,28.1,32.3,3.9,26.0,42.9,66.1,174.0,117.0,MIA,90,0,1,240.0,240.0,44.0,86.0,0.512,12.0,34.0,0.353,6.0,8.0,0.75,7.0,40.0,47.0,30.0,9.0,3.0,14.0,17.0,106.0,,0.592,0.581,0.395,0.093,17.5,81.6,52.8,68.2,9.4,6.1,13.5,100.0,110.6,93.9,,,10.0,15.0,0.833,4.0,7.0,1.0,2.0,2.0,1.0,4.0,10.0,14.0,7.0,2.0,2.0,3.0,3.0,25.0,30.0,0.872,0.857,1.0,0.333,15.6,51.1,28.1,88.6,4.4,51.1,50.0,48.4,163.0,103.0,MIN,106,1,2024,2023-10-28,False
240.0,240.0,44.0,86.0,0.512,12.0,34.0,0.353,6.0,8.0,0.75,7.0,40.0,47.0,30.0,9.0,3.0,14.0,17.0,106.0,,0.592,0.581,0.395,0.093,17.5,81.6,52.8,68.2,9.4,6.1,13.5,100.0,110.6,93.9,,,10.0,15.0,0.833,4.0,7.0,1.0,2.0,2.0,1.0,4.0,10.0,14.0,7.0,2.0,2.0,3.0,3.0,25.0,30.0,0.872,0.857,1.0,0.333,15.6,51.1,28.1,88.6,4.4,51.1,50.0,48.4,163.0,103.0,MIN,106,1,0,240.0,240.0,35.0,87.0,0.402,12.0,38.0,0.316,8.0,14.0,0.571,9.0,33.0,42.0,24.0,6.0,1.0,14.0,12.0,90.0,,0.483,0.471,0.437,0.161,18.4,82.5,47.2,68.6,6.3,1.9,13.1,100.0,93.9,110.6,,,8.0,23.0,0.75,4.0,10.0,1.0,5.0,10.0,1.0,3.0,11.0,11.0,7.0,2.0,1.0,4.0,4.0,22.0,7.0,0.875,0.875,0.833,0.714,25.4,62.6,28.1,32.3,3.9,26.0,42.9,66.1,174.0,117.0,MIA,90,0,2024,2023-10-28,True
240.0,240.0,44.0,93.0,0.473,10.0,32.0,0.313,13.0,17.0,0.765,15.0,25.0,40.0,20.0,10.0,4.0,17.0,20.0,111.0,,0.552,0.527,0.344,0.183,32.6,64.1,47.1,45.5,10.2,7.1,14.5,100.0,112.9,125.1,,,8.0,16.0,0.714,3.0,6.0,1.0,4.0,4.0,1.0,4.0,9.0,12.0,5.0,3.0,1.0,4.0,5.0,20.0,13.0,0.694,0.714,0.857,1.0,16.4,48.0,29.4,39.2,6.3,5.4,42.9,40.7,140.0,135.0,POR,111,0,1,240.0,240.0,47.0,90.0,0.522,16.0,34.0,0.471,13.0,16.0,0.813,14.0,31.0,45.0,36.0,11.0,7.0,17.0,20.0,123.0,,0.634,0.611,0.378,0.178,35.9,67.4,52.9,76.6,11.2,11.5,14.9,100.0,125.1,112.9,,,11.0,17.0,0.8,5.0,8.0,1.0,4.0,5.0,1.0,5.0,7.0,12.0,13.0,3.0,4.0,4.0,4.0,27.0,30.0,0.82,0.8,0.833,2.0,30.5,34.3,26.5,56.0,24.2,12.3,27.3,31.3,234.0,124.0,LAC,123,1,2024,2023-10-25,False
240.0,240.0,47.0,90.0,0.522,16.0,34.0,0.471,13.0,16.0,0.813,14.0,31.0,45.0,36.0,11.0,7.0,17.0,20.0,123.0,,0.634,0.611,0.378,0.178,35.9,67.4,52.9,76.6,11.2,11.5,14.9,100.0,125.1,112.9,,,11.0,17.0,0.8,5.0,8.0,1.0,4.0,5.0,1.0,5.0,7.0,12.0,13.0,3.0,4.0,4.0,4.0,27.0,30.0,0.82,0.8,0.833,2.0,30.5,34.3,26.5,56.0,24.2,12.3,27.3,31.3,234.0,124.0,LAC,123,1,0,240.0,240.0,44.0,93.0,0.473,10.0,32.0,0.313,13.0,17.0,0.765,15.0,25.0,40.0,20.0,10.0,4.0,17.0,20.0,111.0,,0.552,0.527,0.344,0.183,32.6,64.1,47.1,45.5,10.2,7.1,14.5,100.0,112.9,125.1,,,8.0,16.0,0.714,3.0,6.0,1.0,4.0,4.0,1.0,4.0,9.0,12.0,5.0,3.0,1.0,4.0,5.0,20.0,13.0,0.694,0.714,0.857,1.0,16.4,48.0,29.4,39.2,6.3,5.4,42.9,40.7,140.0,135.0,POR,111,0,2024,2023-10-25,True
240.0,240.0,53.0,88.0,0.602,11.0,27.0,0.407,11.0,13.0,0.846,10.0,38.0,48.0,34.0,8.0,5.0,13.0,21.0,128.0,,0.683,0.665,0.307,0.148,31.3,84.4,62.3,64.2,8.3,8.6,12.2,100.0,133.4,99.0,,,12.0,16.0,0.75,4.0,7.0,1.0,5.0,5.0,1.0,3.0,12.0,14.0,8.0,2.0,3.0,4.0,4.0,28.0,25.0,0.833,0.833,1.0,0.556,18.3,42.9,29.2,36.1,9.1,10.8,40.0,32.1,162.0,108.0,DEN,128,0,1,240.0,240.0,37.0,90.0,0.411,6.0,32.0,0.188,15.0,18.0,0.833,7.0,22.0,29.0,22.0,8.0,4.0,9.0,14.0,95.0,,0.485,0.444,0.356,0.2,15.6,68.8,37.7,59.5,8.3,6.6,8.4,100.0,99.0,133.4,,,7.0,16.0,1.0,1.0,5.0,1.0,4.0,4.0,1.0,2.0,5.0,5.0,7.0,4.0,1.0,2.0,3.0,19.0,-2.0,1.167,1.167,1.0,2.0,13.0,54.7,30.3,74.3,12.0,5.5,51.5,46.0,229.0,141.0,OKC,95,1,2024,2023-10-29,True
240.0,240.0,37.0,90.0,0.411,6.0,32.0,0.188,15.0,18.0,0.833,7.0,22.0,29.0,22.0,8.0,4.0,9.0,14.0,95.0,,0.485,0.444,0.356,0.2,15.6,68.8,37.7,59.5,8.3,6.6,8.4,100.0,99.0,133.4,,,7.0,16.0,1.0,1.0,5.0,1.0,4.0,4.0,1.0,2.0,5.0,5.0,7.0,4.0,1.0,2.0,3.0,19.0,-2.0,1.167,1.167,1.0,2.0,13.0,54.7,30.3,74.3,12.0,5.5,51.5,46.0,229.0,141.0,OKC,95,1,0,240.0,240.0,53.0,88.0,0.602,11.0,27.0,0.407,11.0,13.0,0.846,10.0,38.0,48.0,34.0,8.0,5.0,13.0,21.0,128.0,,0.683,0.665,0.307,0.148,31.3,84.4,62.3,64.2,8.3,8.6,12.2,100.0,133.4,99.0,,,12.0,16.0,0.75,4.0,7.0,1.0,5.0,5.0,1.0,3.0,12.0,14.0,8.0,2.0,3.0,4.0,4.0,28.0,25.0,0.833,0.833,1.0,0.556,18.3,42.9,29.2,36.1,9.1,10.8,40.0,32.1,162.0,108.0,DEN,128,0,2024,2023-10-29,False
