,mp.1,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,+/-,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,mp_max,mp_max.1,fg_max,fga_max,fg%_max,3p_max,3pa_max,3p%_max,ft_max,fta_max,ft%_max,orb_max,drb_max,trb_max,ast_max,stl_max,blk_max,tov_max,pf_max,pts_max,+/-_max,ts%_max,efg%_max,3par_max,ftr_max,orb%_max,drb%_max,trb%_max,ast%_max,stl%_max,blk%_max,tov%_max,usg%_max,ortg_max,drtg_max,team,total,home,index_opp,mp_opp,mp_opp.1,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,+/-_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,mp_max_opp,mp_max_opp.1,fg_max_opp,fga_max_opp,fg%_max_opp,3p_max_opp,3pa_max_opp,3p%_max_opp,ft_max_opp,fta_max_opp,ft%_max_opp,orb_max_opp,drb_max_opp,trb_max_opp,ast_max_opp,stl_max_opp,blk_max_opp,tov_max_opp,pf_max_opp,pts_max_opp,+/-_max_opp,ts%_max_opp,efg%_max_opp,3par_max_opp,ftr_max_opp,orb%_max_opp,drb%_max_opp,trb%_max_opp,ast%_max_opp,stl%_max_opp,blk%_max_opp,tov%_max_opp,usg%_max_opp,ortg_max_opp,drtg_max_opp,team_opp,total_opp,home_opp,season,date,won
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,240,36,90,0.4,14,35,0.4,11,16,0.688,8,39,47,27,9,11,14,18,97,,0.5,0.478,0.389,0.178,14.8,70.9,43.1,75,8.8,15.9,12.6,100,95.1,92.1,,,8,17,1,4,9,1,4,6,1,3,8,11,7,2,5,4,4,22,10,0.735,1,1,1.333,11.2,29.4,20.4,63,4.9,9.4,40,26.4,158,106,TOR,97,1,0,240,240,34,100,0.34,8,31,0.258,18,22,0.818,16,46,62,20,8,9,14,14,94,,0.429,0.38,0.31,0.22,29.1,85.2,56.9,58.8,7.8,16.4,11.3,100,92.1,95.1,,,8,27,0.5,4,10,0.571,6,6,1,5,9,14,5,2,4,4,4,26,15,0.557,0.5,0.8,0.5,13.6,22.2,17.9,28.4,4.4,10.9,25.4,32.1,117,103,MIN,94,0,2024,10/25/23,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,240,38,91,0.418,12,43,0.279,16,20,0.8,8,29,37,23,8,7,13,19,104,,0.521,0.484,0.473,0.22,16.3,72.5,41.6,60.5,7.8,13.2,11.5,100,101.8,108.7,,,11,22,0.571,5,10,0.5,4,6,1,4,8,12,5,3,5,5,5,31,6,0.643,0.643,1,0.6,11.6,28.5,19.2,31.3,4.2,12.7,26.8,30.9,120,116,MEM,104,1,0,240,240,40,85,0.471,14,32,0.438,17,22,0.773,11,41,52,22,8,5,21,21,111,,0.586,0.553,0.376,0.259,27.5,83.7,58.4,55,7.8,10.4,18.2,100,108.7,101.8,,,9,18,0.571,6,11,0.667,5,7,1,4,12,12,6,2,1,5,4,24,20,0.761,0.75,1,0.625,15.1,46,28.9,29.9,5,9.2,50,30.2,178,111,NOP,111,0,2024,10/25/23,FALSE
28,240,36,84,0.429,5,29,0.172,23,29,0.793,8,34,42,24,14,7,16,23,100,,0.517,0.458,0.345,0.345,17,77.3,46.2,66.7,13.9,14,14.2,100,99.2,94.2,,,10,17,0.667,1,7,0.5,9,10,1,3,9,12,9,3,3,5,5,30,23,0.902,0.833,0.667,0.667,9.5,40.8,24.6,46.8,8,7.7,100,27.4,133,104,LAL,100,1,0,240,240,34,81,0.42,9,31,0.29,18,23,0.783,10,39,49,16,7,3,20,21,95,,0.521,0.475,0.383,0.284,22.7,83,53.8,47.1,6.9,5.5,18,100,94.2,99.2,,,14,28,0.6,2,8,1,10,13,1,4,11,11,4,3,1,8,5,39,18,0.85,0.8,1,1,13.4,28.5,16.9,18,5.1,6.6,50,45.8,163,105,PHO,95,0,2024,10/26/23,TRUE
29,240,41,80,0.513,16,35,0.457,19,28,0.679,4,35,39,25,8,4,15,28,117,,0.634,0.613,0.438,0.35,10.3,81.4,47.6,61,7.9,7.8,14,100,115.1,116.1,,,10,22,1,5,8,1,8,10,1,1,7,7,8,2,2,7,5,31,14,1.058,1.056,1,1,10.6,29,20.2,32.9,3.8,41.2,41,38.7,218,120,PHI,117,0,1,240,240,41,81,0.506,11,30,0.367,25,36,0.694,8,35,43,20,9,4,14,23,118,,0.609,0.574,0.37,0.444,18.6,89.7,52.4,48.8,8.9,8.9,12.6,100,116.1,115.1,,,10,21,0.75,4,12,1,17,17,1,4,8,12,4,2,2,7,4,39,14,0.929,0.929,0.667,0.85,12.7,28,20,33.8,5.8,6.1,33.3,39.4,156,121,MIL,118,1,2024,10/26/23,FALSE
32,240,35,88,0.398,9,32,0.281,18,21,0.857,15,32,47,15,6,1,16,24,97,,0.499,0.449,0.364,0.239,30,76.2,51.1,42.9,6.3,2,14.1,100,102,107.2,,,9,23,0.778,4,11,0.5,6,7,1,4,11,15,3,2,1,5,5,24,6,0.945,0.833,1,1.333,12.6,41.3,25.7,22.3,3,5.6,29.4,28.8,203,115,POR,97,1,0,240,240,36,79,0.456,9,28,0.321,21,32,0.656,10,35,45,22,10,5,14,16,102,,0.548,0.513,0.354,0.405,23.8,70,48.9,61.1,10.5,8.9,13.1,100,107.2,102,,,8,16,1,3,9,1,8,9,1,4,7,9,6,4,2,3,3,23,11,1.007,1.063,1,0.75,20.9,25.8,21.4,41,7.5,6.4,50,29.7,171,113,ORL,102,0,2024,10/27/23,FALSE
33,265,37,99,0.374,8,39,0.205,22,28,0.786,15,37,52,18,10,5,16,22,104,,0.467,0.414,0.394,0.283,25,82.2,49.5,48.6,9.3,10.4,12.6,100,96.3,95.3,,,11,22,0.556,2,9,0.4,10,14,1,6,9,13,8,4,1,3,5,33,29,0.658,0.667,1,0.636,16.7,26.7,20.7,34.5,7.4,4.6,33.3,30.4,151,103,CHI,104,1,0,265,265,39,84,0.464,9,36,0.25,16,25,0.64,8,45,53,25,5,2,21,29,103,,0.542,0.518,0.429,0.298,17.8,75,50.5,64.1,4.6,3.3,18.1,100,95.3,96.3,,,9,15,0.8,3,10,0.5,4,5,1,2,9,10,10,2,2,7,6,22,28,0.806,0.8,1,1.25,10.4,28.2,20.1,51.6,3.5,4.6,37.5,27,140,105,TOR,103,0,2024,10/27/23,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,240,37,85,0.435,10,33,0.303,20,24,0.833,13,35,48,22,13,7,20,23,104,,0.544,0.494,0.388,0.282,27.7,85.4,54.5,59.5,12.7,13.7,17.3,100,101.3,105.2,,,9,17,0.692,3,10,1,6,6,1,3,7,9,5,5,3,5,5,21,6,0.773,0.833,0.667,0.667,19,28.8,17.3,29.8,7.6,9.9,34,33.9,156,113,MEM,104,1,0,240,240,41,88,0.466,14,37,0.378,12,18,0.667,6,34,40,27,11,10,17,18,108,,0.563,0.545,0.42,0.205,14.6,72.3,45.5,65.9,10.7,19.2,15.1,100,105.2,101.3,,,8,17,0.75,4,9,0.667,5,6,1,3,12,13,7,5,3,9,4,22,8,0.922,1,0.75,0.5,10,42.5,24.6,52.1,6.7,15.3,35.1,31.2,134,113,DEN,108,0,2024,10/27/23,FALSE
