,mp.1,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,+/-,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,mp_max,mp_max.1,fg_max,fga_max,fg%_max,3p_max,3pa_max,3p%_max,ft_max,fta_max,ft%_max,orb_max,drb_max,trb_max,ast_max,stl_max,blk_max,tov_max,pf_max,pts_max,+/-_max,ts%_max,efg%_max,3par_max,ftr_max,orb%_max,drb%_max,trb%_max,ast%_max,stl%_max,blk%_max,tov%_max,usg%_max,ortg_max,drtg_max,team,total,home,index_opp,mp_opp,mp_opp.1,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,+/-_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,mp_max_opp,mp_max_opp.1,fg_max_opp,fga_max_opp,fg%_max_opp,3p_max_opp,3pa_max_opp,3p%_max_opp,ft_max_opp,fta_max_opp,ft%_max_opp,orb_max_opp,drb_max_opp,trb_max_opp,ast_max_opp,stl_max_opp,blk_max_opp,tov_max_opp,pf_max_opp,pts_max_opp,+/-_max_opp,ts%_max_opp,efg%_max_opp,3par_max_opp,ftr_max_opp,orb%_max_opp,drb%_max_opp,trb%_max_opp,ast%_max_opp,stl%_max_opp,blk%_max_opp,tov%_max_opp,usg%_max_opp,ortg_max_opp,drtg_max_opp,team_opp,total_opp,home_opp,season,date,won
57,240,38,87,0.437,17,32,0.531,14,19,0.737,13,28,41,28,5,5,13,19,107,,0.561,0.534,0.368,0.218,28.3,75.7,49.4,73.7,5.4,8.6,12,100,115.7,123.2,,,11,16,0.688,4,6,1,3,4,1,3,7,8,10,2,2,3,5,24,5,0.901,0.875,0.75,0.6,17.2,33.3,22.2,43.6,4.4,4.5,40.3,31.5,157,131,TOR,107,1,0,240,240,43,86,0.5,10,28,0.357,18,21,0.857,9,33,42,25,8,7,9,18,114,,0.598,0.558,0.326,0.244,24.3,71.7,50.6,58.1,8.6,12.7,8.6,100,123.2,115.7,,,14,21,1,7,9,1,6,7,1,3,9,9,8,3,2,2,4,34,10,1.5,1.5,1,0.7,22.9,26.6,22.9,45.3,5.3,7.6,50,32.1,159,127,PHI,114,0,2024,10/28/23,FALSE
58,240,39,93,0.419,11,28,0.393,13,16,0.813,13,20,33,16,10,5,8,20,102,,0.51,0.478,0.301,0.172,25.5,57.1,38.4,41,10.9,8.6,7.4,100,111.6,129.1,,,19,33,1,7,13,1,6,8,1,3,4,5,4,4,2,4,5,51,4,1.5,1.5,1,0.538,19.5,20,19.3,29.5,10.9,5.7,25,48.1,300,140,CHI,102,0,1,240,240,45,86,0.523,12,28,0.429,16,20,0.8,15,38,53,29,4,4,15,18,118,,0.622,0.593,0.326,0.233,42.9,74.5,61.6,64.4,4.4,6.2,13.7,100,129.1,111.6,,,9,19,0.818,6,10,1,6,7,1,6,9,15,10,1,2,6,4,25,19,0.871,0.818,1,0.571,24.8,31.5,28.1,35.5,2.4,4.4,33.3,31,181,120,DET,118,1,2024,10/28/23,FALSE
59,240,43,99,0.434,12,31,0.387,15,24,0.625,18,33,51,29,2,6,6,16,113,,0.516,0.495,0.313,0.242,32.7,75,51.5,67.4,2.1,10,5.2,100,116.8,129.3,,,12,28,0.667,4,10,1,8,10,1,5,10,14,8,1,3,2,4,33,3,0.667,0.667,1,0.455,41.6,29.6,28.9,36.2,8.4,7.2,9.1,35.5,228,136,CLE,113,1,0,240,240,48,98,0.49,15,38,0.395,14,17,0.824,11,37,48,36,3,4,7,20,125,,0.593,0.566,0.388,0.173,25,67.3,48.5,75,3.1,5.9,6.2,100,129.3,116.8,,,10,16,0.714,5,9,0.667,5,5,1,4,11,12,13,2,2,2,5,26,21,0.825,0.857,0.583,0.4,14.5,32.6,19.8,52,4,4.8,16.7,29.5,175,127,IND,125,0,2024,10/28/23,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,265,49,104,0.471,17,48,0.354,17,24,0.708,6,41,47,30,6,7,10,28,132,,0.576,0.553,0.462,0.231,11.8,83.7,47,61.2,5.2,13.2,8,100,114.5,110.1,,,14,24,1,4,9,1,6,8,1,3,14,15,8,2,2,3,6,37,15,1,1,0.643,0.375,9.4,44.5,23.4,45.3,3.3,6.5,33.3,37.9,134,119,SAC,132,1,0,265,265,43,98,0.439,15,45,0.333,26,34,0.765,8,45,53,27,4,4,12,22,127,,0.562,0.515,0.459,0.347,16.3,88.2,53,62.8,3.5,7.1,9.6,100,110.1,114.5,,,11,22,1,5,13,1,7,8,1,6,15,16,9,2,3,8,5,30,12,1.273,1.333,0.765,2,15.6,39.9,20.3,38.6,2.2,6.8,27,32.2,257,118,LAL,127,0,2024,10/29/23,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,240,39,86,0.453,16,44,0.364,16,20,0.8,12,27,39,22,10,3,23,22,110,,0.58,0.547,0.512,0.233,26.7,67.5,45.9,56.4,9.7,5.4,19.5,100,106.6,123.1,,,9,14,1,4,10,1,8,10,1,5,6,11,5,2,2,6,4,26,14,1.434,1.5,1,0.714,18.1,54.4,34.1,39,7,5.8,75,37.8,279,133,MIL,110,1,0,240,240,47,93,0.505,15,37,0.405,18,22,0.818,13,33,46,32,15,2,17,17,127,,0.618,0.586,0.398,0.237,32.5,73.3,54.1,68.1,14.5,4.8,14.2,100,123.1,106.6,,,7,14,0.667,4,8,1,7,9,1,4,10,12,11,4,1,3,4,20,26,1,1,1,1,37.1,46.3,34.9,41.7,14.5,4.4,66.7,35.7,232,118,ATL,127,0,2024,10/29/23,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,240,37,90,0.411,6,32,0.188,15,18,0.833,7,22,29,22,8,4,9,14,95,,0.485,0.444,0.356,0.2,15.6,68.8,37.7,59.5,8.3,6.6,8.4,100,99,133.4,,,7,16,1,1,5,1,4,4,1,2,5,5,7,4,1,2,3,19,-2,1.167,1.167,1,2,13,54.7,30.3,74.3,12,5.5,51.5,46,229,141,OKC,95,1,0,240,240,53,88,0.602,11,27,0.407,11,13,0.846,10,38,48,34,8,5,13,21,128,,0.683,0.665,0.307,0.148,31.3,84.4,62.3,64.2,8.3,8.6,12.2,100,133.4,99,,,12,16,0.75,4,7,1,5,5,1,3,12,14,8,2,3,4,4,28,25,0.833,0.833,1,0.556,18.3,42.9,29.2,36.1,9.1,10.8,40,32.1,162,108,DEN,128,0,2024,10/29/23,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,240,40,87,0.46,6,17,0.353,26,31,0.839,10,34,44,19,8,6,13,17,112,,0.556,0.494,0.195,0.356,21.7,75.6,48.4,47.5,7.9,14.3,11.4,100,110.4,103.5,,,10,19,0.714,1,6,1,10,11,1,5,12,17,4,2,1,3,4,24,15,0.833,0.833,1,0.647,15.2,37.3,26.2,21.2,4.8,11.3,40,27.9,122,111,CHI,112,0,1,240,240,36,88,0.409,12,46,0.261,21,25,0.84,11,36,47,26,7,5,17,24,105,,0.53,0.477,0.523,0.284,24.4,78.3,51.6,72.2,6.9,7.1,14.7,100,103.5,110.4,,,6,16,0.571,3,8,0.5,6,8,1,3,9,11,13,2,2,4,6,20,9,0.625,0.625,1,0.571,16.9,29.6,18.3,61.7,4.5,5,36.4,30.6,132,116,IND,105,1,2024,10/30/23,TRUE
81,240,44,87,0.506,12,37,0.324,22,30,0.733,9,34,43,24,8,5,14,23,122,,0.609,0.575,0.425,0.345,21.4,82.9,51.8,54.5,7.9,9.6,12.3,100,120.2,112.4,,,12,21,0.8,3,7,0.75,9,11,1,3,6,8,5,2,1,4,3,33,18,1.1,1.1,0.8,1,12.3,37.7,24.9,34.2,5.1,5,18.4,36.7,158,121,MIL,122,1,0,240,240,41,86,0.477,13,34,0.382,19,20,0.95,7,33,40,27,7,2,14,20,114,,0.601,0.552,0.395,0.233,17.1,78.6,48.2,65.9,6.9,4,12.9,100,112.4,120.2,,,12,21,0.6,3,7,1,9,10,1,2,7,8,7,2,1,3,5,35,9,0.868,0.75,0.833,1,9,61.9,31.3,38.4,4.3,4.2,41,29.5,144,126,MIA,114,0,2024,10/30/23,TRUE
82,240,42,79,0.532,8,27,0.296,14,18,0.778,3,37,40,28,7,10,16,17,106,,0.61,0.582,0.342,0.228,8.6,75.5,47.6,66.7,7.1,16.7,15.5,100,107.6,104.5,,,12,18,0.714,3,6,0.5,5,5,1,2,17,19,8,3,3,5,4,28,12,0.864,0.821,1,0.667,7.2,43.6,28.4,36.7,4.5,9.1,50,33.8,146,114,LAL,106,1,0,240,240,38,95,0.4,14,35,0.4,13,18,0.722,12,32,44,28,10,3,11,22,103,,0.5,0.474,0.368,0.189,24.5,91.4,52.4,73.7,10.1,5.8,9.7,100,104.5,107.6,,,7,17,1,5,7,1,4,4,1,3,6,8,8,3,2,3,4,17,10,1.417,1.417,1,0.4,11.1,36.9,17.3,41.9,8.1,5.6,33.3,29.4,138,114,ORL,103,0,2024,10/30/23,TRUE
83,240,47,84,0.56,9,28,0.321,7,17,0.412,7,36,43,32,4,8,12,14,110,,0.601,0.613,0.333,0.202,17.1,67.9,45.7,68.1,4.1,13.1,11.6,100,114.1,105.8,,,12,19,1,3,7,0.5,2,5,0.667,3,9,10,14,2,2,3,4,27,13,0.904,1,0.8,1.5,10.6,29.1,16.4,48.9,7.8,5.2,28.6,29.8,188,110,DEN,110,1,0,240,240,42,98,0.429,11,37,0.297,7,15,0.467,17,34,51,30,6,2,12,21,102,,0.488,0.485,0.378,0.153,32.1,82.9,54.3,71.4,6.2,3.6,10.3,100,105.8,114.1,,,10,24,0.909,5,13,0.667,3,4,1,5,10,14,8,3,1,5,4,27,3,0.893,0.909,1,2,12,40.2,22.8,42.5,8.2,2.9,30.6,29.4,144,119,UTA,102,0,2024,10/30/23,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,240,42,84,0.5,23,47,0.489,18,24,0.75,6,42,48,24,4,7,15,17,125,,0.661,0.637,0.56,0.286,15,80.8,52.2,57.1,3.9,12.7,13.7,100,122.8,108.1,,,11,22,0.7,6,12,0.667,7,10,1,2,12,12,12,1,4,6,5,35,18,0.87,0.9,1,0.6,19.6,59.1,33.4,50,3.2,28.5,100,35.5,149,115,DAL,125,0,1,240,240,42,92,0.457,14,37,0.378,12,20,0.6,10,34,44,22,9,4,12,22,110,,0.546,0.533,0.402,0.217,19.2,85,47.8,52.4,8.8,10.8,10.6,100,108.1,122.8,,,12,20,0.706,5,10,0.5,7,9,0.778,2,7,9,9,3,2,6,6,30,4,0.8,0.794,1,0.5,6.4,24.8,13.8,41,4,7.6,27.3,67.2,168,131,MEM,110,1,2024,10/30/23,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,240,48,86,0.558,14,30,0.467,17,18,0.944,4,32,36,28,6,7,9,12,127,,0.676,0.64,0.349,0.209,12.5,76.2,48.6,58.3,6.3,12.3,8.7,100,132.7,118.1,,,17,24,1,3,7,1,5,5,1,2,7,7,8,2,5,3,3,41,25,1.5,1.5,1,1.333,12.4,27.2,18.7,30.8,2.5,18.7,21.2,39.4,275,128,ATL,127,1,0,240,240,44,90,0.489,16,33,0.485,9,15,0.6,10,28,38,24,5,5,10,17,113,,0.585,0.578,0.367,0.167,23.8,87.5,51.4,54.5,5.2,8.9,9.4,100,118.1,132.7,,,13,21,1,5,8,1,8,11,1,6,8,13,7,2,2,5,4,31,4,1,1,1,1.571,22.3,100,54.8,32.4,4,72.4,28.6,38.1,200,138,MIN,113,0,2024,10/30/23,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,240,38,86,0.442,13,34,0.382,20,25,0.8,12,36,48,18,9,1,14,17,109,,0.562,0.517,0.395,0.291,27.3,72,51.1,47.4,9.4,1.9,12.6,100,114.1,95.3,,,7,16,1,3,6,0.6,7,10,1,4,7,10,6,2,1,5,3,19,21,1,1,1,0.714,38.5,44,23.4,55.2,4.6,3.9,25,29.8,161,107,NYK,109,0,1,240,240,36,92,0.391,10,38,0.263,9,12,0.75,14,32,46,19,6,6,15,19,91,,0.468,0.446,0.413,0.13,28,72.7,48.9,52.8,6.3,11.5,13.4,100,95.3,114.1,,,11,20,1,3,9,0.5,4,4,1,4,8,12,5,3,2,3,3,26,2,1.064,1,1,2,13.2,100,57.8,28.3,5.2,9.8,51.5,35.3,200,121,CLE,91,1,2024,10/31/23,TRUE
103,240,43,92,0.467,14,37,0.378,15,20,0.75,8,29,37,25,10,9,12,17,115,,0.57,0.543,0.402,0.217,17.8,82.9,46.3,58.1,9.8,20.5,10.6,100,113.2,112.2,,,10,20,0.75,4,9,1,4,5,1,3,6,8,5,3,4,5,5,27,13,1,1,1,1,11.3,27.2,17,21.5,5.3,15.5,33.3,37.9,190,123,SAS,115,0,1,240,240,42,83,0.506,18,39,0.462,12,15,0.8,6,37,43,29,8,7,19,18,114,,0.636,0.614,0.47,0.181,17.1,82.2,53.8,69,7.9,12.7,17.5,100,112.2,113.2,,,12,19,0.667,5,9,1,4,5,1,2,12,12,7,2,2,5,5,26,13,1,1,0.875,0.667,18.4,49.8,31.5,33.9,5.3,10.2,34,29.5,148,121,PHO,114,1,2024,10/31/23,TRUE
104,240,44,89,0.494,14,31,0.452,16,23,0.696,9,35,44,29,10,4,16,26,118,,0.595,0.573,0.348,0.258,21.4,83.3,52.4,65.9,9.7,7.8,13.9,100,114.3,98.8,,,8,17,1,6,9,1,5,7,1,2,7,9,7,5,1,3,4,27,19,1.5,1.5,1,0.875,39.2,35.3,22.7,100,7.1,4.9,50,42.9,300,108,LAC,118,1,0,240,240,38,81,0.469,7,30,0.233,19,33,0.576,7,33,40,23,9,3,16,24,102,,0.534,0.512,0.37,0.407,16.7,78.6,47.6,60.5,8.7,5.2,14.3,100,98.8,114.3,,,6,13,1,2,7,0.5,5,8,1,2,7,8,4,4,1,3,5,15,5,1,1,1,1,29.1,29.1,15.4,96.3,5.8,5.8,50,59.5,218,123,ORL,102,0,2024,10/31/23,TRUE
